DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20190601,6/1/2019,Saturday,June,Jun,6,2,2019
20190602,6/2/2019,Sunday,June,Jun,6,2,2019
20190603,6/3/2019,Monday,June,Jun,6,2,2019
20190604,6/4/2019,Tuesday,June,Jun,6,2,2019
20190605,6/5/2019,Wednesday,June,Jun,6,2,2019
20190606,6/6/2019,Thursday,June,Jun,6,2,2019
20190607,6/7/2019,Friday,June,Jun,6,2,2019
20190608,6/8/2019,Saturday,June,Jun,6,2,2019
20190609,6/9/2019,Sunday,June,Jun,6,2,2019
20190610,6/10/2019,Monday,June,Jun,6,2,2019
20190611,6/11/2019,Tuesday,June,Jun,6,2,2019
20190612,6/12/2019,Wednesday,June,Jun,6,2,2019
20190613,6/13/2019,Thursday,June,Jun,6,2,2019
20190614,6/14/2019,Friday,June,Jun,6,2,2019
20190615,6/15/2019,Saturday,June,Jun,6,2,2019
20190616,6/16/2019,Sunday,June,Jun,6,2,2019
20190617,6/17/2019,Monday,June,Jun,6,2,2019
20190618,6/18/2019,Tuesday,June,Jun,6,2,2019
20190619,6/19/2019,Wednesday,June,Jun,6,2,2019
20190620,6/20/2019,Thursday,June,Jun,6,2,2019
20190621,6/21/2019,Friday,June,Jun,6,2,2019
20190622,6/22/2019,Saturday,June,Jun,6,2,2019
20190623,6/23/2019,Sunday,June,Jun,6,2,2019
20190624,6/24/2019,Monday,June,Jun,6,2,2019
20190625,6/25/2019,Tuesday,June,Jun,6,2,2019
20190626,6/26/2019,Wednesday,June,Jun,6,2,2019
20190627,6/27/2019,Thursday,June,Jun,6,2,2019
20190628,6/28/2019,Friday,June,Jun,6,2,2019
20190629,6/29/2019,Saturday,June,Jun,6,2,2019
20190630,6/30/2019,Sunday,June,Jun,6,2,2019
20190701,7/1/2019,Monday,July,Jul,7,3,2019
20190702,7/2/2019,Tuesday,July,Jul,7,3,2019
20190703,7/3/2019,Wednesday,July,Jul,7,3,2019
20190704,7/4/2019,Thursday,July,Jul,7,3,2019
